original_name,cleaned_name,vk_name,vk_url,match_quality,relevance_score,city
da chikko,da,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
tobiko xvbzj,tobiko,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
bufet 1,bufet 1,"•●•●•●•●•●•●•●•● ДОСТАВКА СУШИ И ПИЦЦЫ ""Море Роллов"" № 1 В Москве ●•●•●•●•●•●•●•●•●•●•●•",https://vk.com/club24502899,excellent,21,Москва
vkus vostoka 9vjwc,vkus vostoka,Доставка пиццы в Москве | Милан Пицца,https://vk.com/milanpizzadostavka,excellent,18,Москва
amore more tq3bz,amore more,«Amore Pizza»  -Доставка Пиццы На Троещину,https://vk.com/amorepizzakiev,excellent,23,не указан
diyor  6sdml,diyor,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
palma nd897,palma,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
kafe casa de pino,kafe casa de,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,22,Москва
zharim c54b6,zharim,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
sushi pizza top 2jlwh,суши пицца top,MAMIPIZZA | Доставка пиццы и суши в Москве,https://vk.com/mamipizzaru,excellent,23,Москва
yamato gtkxp,yamato,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
namur,namur,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pekarnya i picca,pekarnya i,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
chajxana xalyala ,chajxana xalyala,Не найдено,,not_found,0,не найден
full skgq7,full,Full Tiger | Доставка роллов и пиццы Москва,https://vk.com/full_tiger,excellent,24,Москва
shaverma po  moskovski zs3wg,shaverma po moskovski,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
bubble tea m4tv5,bubble tea,Тапиочи - Бабл Ти Москва |  Bubble Tea Moscow,https://vk.com/tapiochi,excellent,28,Москва
siti kafe mikluxomaklaya 17,siti kafe mikluxomaklaya 17,АК Оникс -17 (ЭЛИТ) Адлер | Форум| Новостройка,https://vk.com/ak_oniks_17_elit_adler,poor,2,не указан
al c6wkh,al,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
seasons leninskij prospekt 109,seasons leninskij prospekt 109,Не найдено,,not_found,0,не найден
mezhdubulok balaklavskij prospekt 5as11,mezhdubulok balaklavskij prospekt,Не найдено,,not_found,0,не найден
monastyrskij dvorik,monastyrskij,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
subway mikluxomaklaya 11,subway mikluxomaklaya 11,Не найдено,,not_found,0,не найден
gusto italiano gastromarket  salaris,gusto italiano gastromarket salaris,Fabio Pizza  “AL GUSTO ITALIANO”,https://vk.com/fabio_pizza,excellent,20,не указан
piccalend,piccalend,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
ozyurt z5f3k,ozyurt,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
Uryuk mp7 ,Uryuk mp7,Best-nuts.ru Купить орехи и сухофрукты в Москве,https://vk.com/club132402201,excellent,10,Москва
fiks kafe pokarmanu klzhs,fiks kafe pokarmanu,VMG Sound - Музыкальное оборудование,https://vk.com/vmgsound,poor,0,не указан
farsh burger xalyal,farsh бургер,Роллы| Пицца| Бургеры Суши-Бар с.Краснохолмский,https://vk.com/sushibarholm1,excellent,21,Москва
sushi taun 2kmzf,суши taun,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
perchini euqib,perchini,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
vasabi 38jfr,vasabi,TOTO sushi & pizza | доставка суши и пиццы,https://vk.com/sushitoto,excellent,15,не указан
myata lounge prokshino 2n5fz,myata lounge prokshino,МЯТА LOUNGE в Москве | м. Кузьминки,https://vk.com/myata_kyzminki,excellent,17,Москва
piccerito,piccerito,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
up dz9bx,up,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
seryj gbvjc,seryj,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
kafe vostok cywjf,kafe vostok,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,22,Москва
vostok 1,vostok 1,"•●•●•●•●•●•●•●•● ДОСТАВКА СУШИ И ПИЦЦЫ ""Море Роллов"" № 1 В Москве ●•●•●•●•●•●•●•●•●•●•●•",https://vk.com/club24502899,excellent,21,Москва
family cafe sxj85,family cafe,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,29,Москва
kampus,kampus,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
poneslos,poneslos,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
the waffli,the,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
Picasso bar,Picasso bar,Доставка пиццы Солнцево Парк-pizza&bar DEL GALLO,https://vk.com/delgallopizzabar,excellent,18,не указан
desna jqm4h,desna,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
uzbechka akademika volgina 2a,uzbechka akademika volgina 2a,Не найдено,,not_found,0,не найден
sokrovishhe ezdon,sokrovishhe,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
shashlyk lavash n1,shashlyk lavash n1,"Доставка Москва💫 Роллы, пицца, шашлык",https://vk.com/club138404909,excellent,20,Москва
dionis 1 maklaya,dionis 1 maklaya,Море Суши - сеть ресторанов,https://vk.com/club24245584,fair,4,не указан
xinkalnaya karina qb9pl,xinkalnaya karina,группа для тех кто обажает конфетки рафаэлло и когда ест их сначало объедает кокос потом языком расскалывает конфетку вылизывает вот жту херню внутри а орешек отдаёт собаке,https://vk.com/club2242165,poor,2,не указан
food taxi n5dqc,food taxi,PARoVOZ~food/Красноуфимск/доставка/пицца/роллы,https://vk.com/parovoz_food_ksk,excellent,27,Москва
arfa pirogi qpnf4,arfa pirogi,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
Macadamia,Macadamia,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
tantoni xaus,tantoni,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
salt profsoyuznaya 27k1,salt profsoyuznaya,RedPizza | Ред Пицца - доставка пиццы в Москве,https://vk.com/redpizzaru,excellent,24,Москва
byorger stejk udalcova 87s1,byorger stejk udalcova,"Группа любителей садика"".::!!!ЛЬДИНКА!!!::."",а так же тех кто любит попрыгать в нем,т.к. этот садик отличное место для занятий паркуром,а так же тех,кто любит попить в этом месте пивка,вкусить его божественный вкус...",https://vk.com/club4000316,poor,0,не указан
piccafabrika  fjvd4,piccafabrika,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
kulinarnaya pqhcl,kulinarnaya,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
doner cqjlb,doner,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
la griglia chikina 8b,la griglia chikina 8b,Пиццерия La Griglia,https://vk.com/lagriglia,excellent,12,не указан
nebo 8qt9g,nebo,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
shef yarmz,shef,SHEF SUSHI_ Кунгур/доставка/суши/роллы/пицца,https://vk.com/kungurshef,excellent,21,не указан
villadzhio,villadzhio,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pandok tcwxi,pandok,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
domashnyaya kuxnya rgzv9,domashnyaya kuxnya,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
sushiburger,sushiburger,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
parfe cafe,parfe,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
stolovaya vremya est,stolovaya vremya est,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,22,Москва
pxali l9mj2,pxali,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
chef eagle,chef,"R-Chef▾Доставка суши, пиццы▾Томск",https://vk.com/sushi_rchef,excellent,24,Москва
piccolo okt,piccolo okt,"Piccolo | Товары для новорожденных | СПб, Мск",https://vk.com/piccolodetki,excellent,14,Москва
xinkalnaya maximus ncfvl,xinkalnaya maximus,"☛ Бесплатная доставка пиццы ""Maximus"" в Севастополе",https://vk.com/club31958802,excellent,12,не указан
pizza amore msk,пицца amore msk,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
shashlikouse1,shashlikouse1,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
plyushkipodruzhki sp6r3,plyushkipodruzhki,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
andiamo stroitelej 4s2,andiamo stroitelej 4s2,SEO Start Anatomia SEO (поток3),https://vk.com/seostart3,poor,0,не указан
pekarnya madam bulkinoj,pekarnya madam bulkinoj,Пекарня Мадам Плюшкина Ефремов Тульское шоссе 4,https://vk.com/club225768331,poor,0,не указан
u kamina vkusnyj shashlyk i ne tolko,u kamina vkusnyj shashlyk i ne,ВКУСНЫЙ СТОЛ | ДОСТАВКА,https://vk.com/vkusnyj_stol,fair,3,не указан
blackstar gaming lounge mosfilmovskaya 53,blackstar gaming lounge mosfilmovskaya 53,Не найдено,,not_found,0,не найден
kafe les,kafe les,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,22,Москва
pizza volante chongarskij bulvar 7,пицца volante chongarskij bulvar 7,Не найдено,,not_found,0,не найден
kafe delonix prospekt vernadskogo 94k1,kafe delonix prospekt vernadskogo,"Вкуснейшие шашлыки в Москве. Кафе ""У ДЖОНА""",https://vk.com/ujhona,excellent,13,Москва
kavkazskaya kuxnya wg9bs,kavkazskaya kuxnya,"Кафе Арабеско - доставка пиццы, суши, шашлыка и",https://vk.com/arabesco_cafe,good,9,не указан
chaihona36 mp,chaihona36 mp,Мэджик пицца| Ступино| доставка пиццы| роллы,https://vk.com/magicstupino,excellent,10,не указан
sushi panda novo 31,суши panda novo 31,TYUMEN  31.12.2013  Mega Рrivate Рarty,https://vk.com/nstmusic,poor,2,не указан
hookahplace lago,hookahplace,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pekarnya na kozhevnicheskoj gmtln,pekarnya na kozhevnicheskoj,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
entre,entre,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
gastrobar lavka 1,gastrobar lavka 1,"•●•●•●•●•●•●•●•● ДОСТАВКА СУШИ И ПИЦЦЫ ""Море Роллов"" № 1 В Москве ●•●•●•●•●•●•●•●•●•●•●•",https://vk.com/club24502899,excellent,21,Москва
vkusno vsyo ,vkusno vsyo,COMEDY CAFE | Москва | Доставка пицца / суши,https://vk.com/comedymoskva,excellent,22,Москва
tradicionnye pirogi,tradicionnye,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
territoriya desertov yasnaya 1,territoriya desertov yasnaya 1,Не найдено,,not_found,0,не найден
escobar burgers tako  burrito premium z47ts,escobar burgers tako burrito premium,Не найдено,,not_found,0,не найден
kovcheg ebvhy,kovcheg,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
dendi urtof,dendi,RUSPIZZA Москва | Доставка пиццы,https://vk.com/ruspizza.moscow,excellent,21,Москва
sushi hai cwhjd,суши hai,MAMIPIZZA | Доставка пиццы и суши в Москве,https://vk.com/mamipizzaru,excellent,23,Москва
saxalinskaya volna,saxalinskaya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pekarnya kofejnya 8ftmw,pekarnya kofejnya,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
devino vilnyusskaya 5 czgku,devino vilnyusskaya 5,Не найдено,,not_found,0,не найден
staryj dvorik mikluxomaklaya 18k1,staryj dvorik mikluxomaklaya,Не найдено,,not_found,0,не найден
karina ,karina,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pancho picca kaluzhskoe shosse 21j kilometr 3as20,pancho пицца kaluzhskoe shosse 21j kilometr,Не найдено,,not_found,0,не найден
vinnyj restoran la carta xersonskaya 43,vinnyj restoran la carta xersonskaya 43,Не найдено,,not_found,0,не найден
gastrobar lomonosov leninskij prospekt 75 9,gastrobar lomonosov leninskij prospekt 75 9,Не найдено,,not_found,0,не найден
scenario c9hr5,scenario,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
xlebnoe nhtgc,xlebnoe,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
dads farm burgers,dads farm burgers,Доставка и Акции-Пиццы-Суши-Шашлыки-Burgers-Wok,https://vk.com/deliverydish,excellent,14,не указан
batterflaj mikluxomaklaya 11,batterflaj mikluxomaklaya 11,Не найдено,,not_found,0,не найден
Chajhana Tapchan Udalcova,Chajhana Tapchan Udalcova,Не найдено,,not_found,0,не найден
kartochcho prospekt vernadskogo 86v,kartochcho prospekt vernadskogo 86v,Дом куксу ресторан корейской кухни,https://vk.com/club223988804,fair,3,не указан
il borgo vavilova 81,il borgo vavilova 81,Не найдено,,not_found,0,не найден
xinkali burgery l2zjx,xinkali burgery,"Точка еды / Доставка / Пицца, роллы / Москва",https://vk.com/foodpointru,excellent,20,Москва
shashlychnyj dvorik zrf4g,shashlychnyj dvorik,Букетный Дворик - Доставка цветов в Москве,https://vk.com/tsvetdvorik,excellent,12,Москва
myata platinum olimp michurinskij prospekt olimpijskaya derevnya vl19s1,myata platinum olimp michurinskij prospekt olimpijskaya derevnya,Не найдено,,not_found,0,не найден
oazis hujoc,oazis,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
onlikaef,onlikaef,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
casa bella govorova 161,casa bella govorova 161,Не найдено,,not_found,0,не найден
sup tom yam fv7dh,sup tom yam,Доставка пиццы Orangepizza. Москва,https://vk.com/club78071834,excellent,21,Москва
tornano prospekt vernadskogo 92 fzmwh,tornano prospekt vernadskogo 92,Не найдено,,not_found,0,не найден
picca viktoriya,пицца viktoriya,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pekarnya  15 flotskaya 13k3s1 kyzms,pekarnya 15 flotskaya 13k3s1,ДЕТСКИЕ РАЗВЛЕКАТЕЛЬНЫЕ ПРОГРАММЫ,https://vk.com/kidsanimation,poor,0,не указан
osetinskie pirogi ot lyudmily 5gc8m,osetinskie pirogi ot lyudmily,Осетинские пироги с доставкой в течение 1 часа по Москве (Доставка еды и обедов в офис и на дом),https://vk.com/club17858520,good,9,Москва
Berikoni,Berikoni,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
Prosushi,Prosushi,ProSushi | ПроСуши - ресторан в Москве | СУШИ |,https://vk.com/prosushicafe,excellent,28,Москва
Largo Italianskaya,Largo Italianskaya,"ХОРОВОЕ ОТДЕЛЕНИЕ ДЕВОЧЕК ""ЛИРИКА""",https://vk.com/club229652540,poor,0,не указан
myasoryba kaluzhskoe shosse 21j kilometr s1 acoqt,myasoryba kaluzhskoe shosse 21j kilometr s1,Не найдено,,not_found,0,не найден
pekarnya doner bistro iyhob,pekarnya doner bistro,Закрытая пицца-пироги в г. Москва  с доставкой,https://vk.com/dostavkapiccymoskva,excellent,16,Москва
olive novoyasenevskij prospekt 1,olive novoyasenevskij prospekt 1,Не найдено,,not_found,0,не найден
tunec sushibar  uhtfo,tunec sushibar,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
zamzam hqj29,zamzam,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
vse svoi,vse,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
vinoedap,vinoedap,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
mon kitchen,mon kitchen,Доставка пиццы. Fresita Pizza Москва,https://vk.com/fresitapizza,excellent,21,Москва
chajxana lhgsx,chajxana,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
desyonov prh43,desyonov,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
sushi  sake,суши,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
